name	stage	model	bytecode_bytes	package_offset	output_file
SLS1000.vso	vertex	2_0	252	12	SLS1000.vso.dis
SLS1003.vso	vertex	2_0	560	524	SLS1003.vso.dis
SLS1004.vso	vertex	2_0	428	1344	SLS1004.vso.dis
SLS1005.vso	vertex	2_0	252	2032	SLS1005.vso.dis
SLS1006.vso	vertex	2_0	308	2544	SLS1006.vso.dis
SLS1007.vso	vertex	2_0	276	3112	SLS1007.vso.dis
SLS1008.vso	vertex	2_0	720	3648	SLS1008.vso.dis
SLS1009.vso	vertex	2_0	552	4628	SLS1009.vso.dis
SLS1010.vso	vertex	2_0	452	5440	SLS1010.vso.dis
SLS1011.vso	vertex	2_0	744	6152	SLS1011.vso.dis
SLS1012.vso	vertex	2_0	476	7156	SLS1012.vso.dis
SLS1013.vso	vertex	2_0	768	7892	SLS1013.vso.dis
SLS1014.vso	vertex	2_0	464	8920	SLS1014.vso.dis
SLS1015.vso	vertex	2_0	756	9644	SLS1015.vso.dis
SLS1016.vso	vertex	2_0	584	10660	SLS1016.vso.dis
SLS1017.vso	vertex	2_0	544	11504	SLS1017.vso.dis
SLS1018.vso	vertex	2_0	568	12308	SLS1018.vso.dis
SLS1019.vso	vertex	2_0	708	13136	SLS1019.vso.dis
SLS1020.vso	vertex	2_0	384	14104	SLS1020.vso.dis
SLS1021.vso	vertex	2_0	412	14748	SLS1021.vso.dis
SLS1022.vso	vertex	2_0	568	15420	SLS1022.vso.dis
SLS1023.vso	vertex	2_0	612	16248	SLS1023.vso.dis
SLS1024.vso	vertex	2_0	264	17120	SLS1024.vso.dis
SLS1025.vso	vertex	2_0	464	17644	SLS1025.vso.dis
SLS1026.vso	vertex	2_0	512	18368	SLS1026.vso.dis
SLS1027.vso	vertex	2_0	336	19140	SLS1027.vso.dis
SLS1028.vso	vertex	2_0	616	19736	SLS1028.vso.dis
SLS1029.vso	vertex	2_0	664	20612	SLS1029.vso.dis
SLS1S000.vso	vertex	2_0	784	21536	SLS1S000.vso.dis
SLS1S001.vso	vertex	2_0	1052	22580	SLS1S001.vso.dis
SLS1S002.vso	vertex	2_0	1076	23892	SLS1S002.vso.dis
SLS1S003.vso	vertex	2_0	2052	25228	SLS1S003.vso.dis
SLS1S004.vso	vertex	2_0	1920	27540	SLS1S004.vso.dis
SLS1S005.vso	vertex	2_0	784	29720	SLS1S005.vso.dis
SLS1S006.vso	vertex	2_0	816	30764	SLS1S006.vso.dis
SLS1S007.vso	vertex	2_0	808	31840	SLS1S007.vso.dis
SLS1S008.vso	vertex	2_0	2200	32908	SLS1S008.vso.dis
SLS1S009.vso	vertex	2_0	2044	35368	SLS1S009.vso.dis
SLS1S010.vso	vertex	2_0	1944	37672	SLS1S010.vso.dis
SLS1S011.vso	vertex	2_0	1968	39876	SLS1S011.vso.dis
SLS1S012.vso	vertex	2_0	2236	42104	SLS1S012.vso.dis
SLS1S013.vso	vertex	2_0	2260	44600	SLS1S013.vso.dis
SLS1S014.vso	vertex	2_0	1956	47120	SLS1S014.vso.dis
SLS1S015.vso	vertex	2_0	2248	49336	SLS1S015.vso.dis
